,year,state,report,farmtype,category,category_value,category2,category2_value,variable_id,variable_name,variable_sequence,variable_level,variable_group,variable_group_id,variable_unit,variable_description,variable_is_invalid,estimate,median,statistic,rse,unreliable_estimate,decimal_display,intervals_estimate,random_date,julian_date
0,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,12064424.0,,TOTAL,25.0,0,0,"(7671542.0, 13093219.25]",2011-09-21,15238.0
1,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,49199.0,,TOTAL,18.5,0,0,,2011-03-26,15059.0
2,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,36283.0,,TOTAL,12.1,0,0,,2011-10-09,15256.0
3,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,93172.0,,TOTAL,7.5,0,0,,2011-10-07,15254.0
4,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,42845.0,,TOTAL,17.6,0,0,,2011-04-12,15076.0
5,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,8882.0,,TOTAL,26.1,0,0,,2011-03-27,15060.0
6,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,13146.0,,TOTAL,15.7,0,0,,2011-06-23,15148.0
7,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,16365.0,,TOTAL,16.8,0,0,,2011-02-09,15014.0
8,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,35078.0,,TOTAL,28.3,0,0,,2011-04-13,15077.0
9,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,39116.0,,TOTAL,12.9,0,0,,2011-08-27,15213.0
10,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,33767.0,,TOTAL,13.3,0,0,,2011-04-13,15077.0
11,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,14193.0,,TOTAL,40.7,0,0,,2011-05-16,15110.0
12,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,39164.0,,TOTAL,13.6,0,0,,2011-12-12,15320.0
13,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,63148.0,,TOTAL,13.7,0,0,,2011-02-14,15019.0
14,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,24425.0,,TOTAL,31.9,0,0,,2011-04-17,15081.0
15,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,27222.0,,TOTAL,16.9,0,0,,2011-03-17,15050.0
16,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,28830.0,,TOTAL,14.9,0,0,,2011-10-29,15276.0
17,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,4313.0,,TOTAL,20.3,0,0,,2011-06-10,15135.0
18,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,15830.0,,TOTAL,17.5,0,0,,2011-02-04,15009.0
19,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,8886.0,,TOTAL,37.4,0,0,,2011-10-06,15253.0
20,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,29846.0,,TOTAL,43.5,0,0,,2011-09-27,15244.0
21,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,5012.0,,TOTAL,29.3,0,0,,2011-08-08,15194.0
22,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,68939.0,,TOTAL,20.2,0,0,,2011-01-05,14979.0
23,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,21450.0,,TOTAL,15.3,0,0,,2011-09-25,15242.0
24,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,66079.0,,TOTAL,19.8,0,0,,2011-12-02,15310.0
25,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,116635.0,,TOTAL,6.3,0,0,,2011-05-23,15117.0
26,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2747102.0,,TOTAL,15.2,0,0,"(0.0, 3607745.75]",2011-03-30,15063.0
27,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,1672735.0,,TOTAL,17.7,0,0,"(0.0, 3607745.75]",2011-05-02,15096.0
28,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,9149806.0,,TOTAL,10.5,0,0,"(7671542.0, 13093219.25]",2011-09-29,15246.0
29,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,7200786.0,,TOTAL,6.1,0,0,"(3607745.75, 7671542.0]",2011-12-21,15329.0
30,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2575790.0,,TOTAL,17.0,0,0,"(0.0, 3607745.75]",2011-02-14,15019.0
31,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,22694939.0,,TOTAL,15.0,0,0,"(13093219.25, 114480641.0]",2011-06-10,15135.0
32,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,6128126.0,,TOTAL,8.2,0,0,"(3607745.75, 7671542.0]",2011-07-25,15180.0
33,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,3074959.0,,TOTAL,23.4,0,0,"(0.0, 3607745.75]",2011-03-04,15037.0
